0,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
115,新著龙虎门外传之《皇者之路》,黄玉郎 ,https://mhfm1tel.cdndm5.com/22/21632/20160129100658_180x240_22.jpg,新著龙虎门外传之《皇者之路》黄玉郎新著。。,完结,第20卷 大结局,https://www.dm5.com/manhua-xinzhulonghumenwaichuanzhi-huangzhezhilu/
116,生化危机,许景琛 ,https://mhfm7tel.cdndm5.com/3/2556/2556.jpg,据CAPCOM授权的著名游戏《生化危机》改编而成，剧情非常的...,完结,第18卷 ,https://www.dm5.com/manhua-shenghuaweiji/
117,七武器,马荣成 ,https://mhfm4tel.cdndm5.com/2/1018/1018.jpg,江湖上有七种武器，各有各的厉害，有些霸道，有些神秘，有...,完结,第67卷 ,https://www.dm5.com/manhua-qiwuqi/
118,天下无敌小剑仙,黄玉郎 ,https://mhfm7tel.cdndm5.com/5/4682/20141107151355_180x240_19.jpg,天下无敌小剑仙漫画 ，灿放出黄玉郎博士笔下的『醉拳』、『...,完结,第33回 ,https://www.dm5.com/manhua-tianxiawudixiaojianxian/
119,神雕侠侣,黄展鸣 ,https://mhfm4tel.cdndm5.com/11/10962/10962_b.jpg,这是1998年由黄展鸣先生主笔的新加坡漫画《神雕侠侣》。,完结,13-18卷 ,https://www.dm5.com/manhua-shendiaoxialvx/
120,折纸战士X,周显宗 ,https://mhfm9tel.cdndm5.com/19/18631/20150616113416_180x240_30.jpg,在混沌神——轧德的大破坏事件之后，小哲与小莲跟着卡米一...,完结,第1卷 ,https://www.dm5.com/manhua-shezhizhanshi-x/
121,刺皇,邱福龙 ,https://mhfm8tel.cdndm5.com/9/8214/8214.jpg,战国时代，七雄争霸！天下刺客，各怀杀技！独行侠、群体战...,完结,第20回 荆轲刺秦王,https://www.dm5.com/manhua-cihuang/
124,宇久纷华?战国墨者异传,黄俊维 ,https://mhfm7tel.cdndm5.com/22/21771/20161017115947_180x240.jpg,【《宇久纷华》每周一更新，官方微博：黄俊维_宇久纷华；官...,完结,第40回 旅程,https://www.dm5.com/manhua-yujiufenhua/
125,少林寺第8铜人外传,邱福龙 ,https://mhfm9tel.cdndm5.com/8/7875/7875.jpg,在乳七索和张君宝合力杀败少林叛徒不杀之后，江湖上一切归...,完结,第16回 闯关,https://www.dm5.com/manhua-shaolinsidi-8-tongrenwaizhuan/
126,中华英雄2013,邝彬强 ,https://mhfm8tel.cdndm5.com/14/13406/13406_b.jpg,中华英雄2013创刊号，中华英雄乃马荣成80年成名作品，30多...,完结,第28回 ,https://www.dm5.com/manhua-zhonghuayingxiong-2013/
