序号,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址,百度盘地址,提取码,是否发布
68,神兵前传I,黄玉郎 ,https://mhfm9tel.cdndm5.com/4/3749/3749.jpg,新一辑的故事，环绕天竺婆罗门所发生，一个神之国度，有着...,完结,第16卷 ,https://www.dm5.com/manhua-shenbingqianchuan-i/,https://pan.baidu.com/s/1KzQbDZxe8s1nRlUkZSpZTQ,138f,
69,赤蝎13,许景琛 ,https://mhfm5tel.cdndm5.com/3/2616/20160908144602_180x240_21.jpg,赤蝎13漫画 ，许景琛继《超霸世纪》后的第二部长篇作品，抄...,完结,第72卷 ,https://www.dm5.com/manhua-chixie-13/,https://pan.baidu.com/s/1QMXZ8EQe8gQKRugNk55T6Q,a2id,
70,神兵玄奇F,黄玉郎 ,https://mhfm5tel.cdndm5.com/3/2706/2706_b.jpg,唐朝贞观年间，南宫问天现身于李世民面前，想要把能使人不...,完结,第14卷 ,https://www.dm5.com/manhua-shenbingxuanqi-f/,https://pan.baidu.com/s/1aUKnm2gS71WKjgBFCQz4RA,1k7n,
71,拳皇Z纪念版,司徒剑侨 ,https://mhfm8tel.cdndm5.com/1/620/620.jpg,拳皇纪念版漫画 ，《拳皇Z》之特别处，在于描写拳皇故事中...,完结,第45卷 ,https://www.dm5.com/manhua-quanhuangjinianban-kof-z/,,,
72,九龙城寨,司徒剑侨 ,https://mhfm5tel.cdndm5.com/8/7543/7543.jpg,陈洛军——暴力团战神，一夜间一无所有，决定要向大老板问...,完结,第32回 交错,https://www.dm5.com/manhua-jiulongchengzhai/,https://pan.baidu.com/s/1NfG9sISh8Rm_pUZhtCmPYg,923y,
73,神兵玄奇外传,黄玉郎 ,https://mhfm6tel.cdndm5.com/7/6233/6233.jpg,江湖千百年流传的旷世武学——盤古所创的盤古五极原是一个...,完结,第28回 ,https://www.dm5.com/manhua-shenbingxuanqiwaizhuan/,https://pan.baidu.com/s/10PotH-cJtW6dPbze28NPhA,eman,
74,火云邪神,邱福龙 ,https://mhfm6tel.cdndm5.com/4/3759/3759.jpg,邱福龙最具杀伤力作品——《火云邪神》！,完结,第16回 ,https://www.dm5.com/manhua-huoyunxieshen/,https://pan.baidu.com/s/1zaPHx0utEa4jlooIj7yreA,svvt,
75,黄玉郎醉拳,邱福龙 ,https://mhfm3tel.cdndm5.com/6/5797/20160907112052_180x240_17.jpg,2000年《龙虎门》以《新著龙虎门》姿态重生，2008年《如来...,完结,第31卷 ,https://www.dm5.com/manhua-huangyulangzuiquan/,https://pan.baidu.com/s/1LclTdlamYsRh6R-3kksh-A,1uk5,
76,义勇门,黄玉郎 ,https://mhfm7tel.cdndm5.com/4/3497/20141031165824_180x240_21.jpg,"义勇门漫画 ，满清末年,朝廷腐败、内忧外患不断。一个贫苦...",完结,第72回 ,https://www.dm5.com/manhua-yiyongmen/,https://pan.baidu.com/s/1O-9Nqfs_HBy0dR7YoH4QTw,s87p,
77,拳皇95,岑卓华 ,https://mhfm6tel.cdndm5.com/17/16879/20141126142828_180x240_27.jpg,「拳皇」的港漫自1995年至今出版不斷，其中以司徒劍僑的『...,完结,第1回 ,https://www.dm5.com/manhua-quanhuang-95/,https://pan.baidu.com/s/1GUPZjCqSAPBxDM_ckAMyJA,xn8q,
78,神掌,黄玉郎 ,https://mhfm6tel.cdndm5.com/20/19108/20150729085654_180x240_25.jpg,新时代需要新一代，新锐武侠就是让年轻人去创新！请各位亲...,完结,第24回 如来神掌,https://www.dm5.com/manhua-shenzhang/,https://pan.baidu.com/s/1FsyJ4DvwFXJN1D0QARMmZA,iqj1,
79,我和天师有个约会,雪晴 ,https://mhfm7tel.cdndm5.com/22/21074/20171201092038_180x240_24.jpg,一个古怪的天师来我家除妖了！,完结,第65回 天穿,https://www.dm5.com/manhua-wohetianshiyougeyaohui/,,,
80,武神海虎地狱,邓志辉 ,https://mhfm6tel.cdndm5.com/5/4342/4342.jpg,海域第三洋. 海虎與地獄緩緩的向天空島進發. 海虎和地獄當...,完结,第50回 ,https://www.dm5.com/manhua-wushenhaihudiyu/,https://pan.baidu.com/s/1F4rtMNe3qm8jSF-VP28mQg,a5sq,
81,龙神,邱福龙 ,https://mhfm3tel.cdndm5.com/4/3423/3423_b.jpg,龙神漫画 ，邱福龙龙神,完结,第58卷 ,https://www.dm5.com/manhua-longshen/,https://pan.baidu.com/s/1rpS9n90vjKfZ2_O_bdvNOw,3rzf,
82,侠客行,林业庆 ,https://mhfm9tel.cdndm5.com/4/3063/3063.jpg,中国武侠小说大师金庸原著+香港顶级漫画大师黄玉郎监制+香...,完结,第27卷 ,https://www.dm5.com/manhua-xiakexing/,https://pan.baidu.com/s/1iW9oNbQsSwPsAiFoF4TrTw,sz14,
83,创世神兵,黄玉郎 ,https://mhfm7tel.cdndm5.com/4/3697/3697.jpg,07盛夏，香港漫画教父黄玉郎倾力原创的惊世大作！开辟全新...,完结,第40卷 ,https://www.dm5.com/manhua-chuangshishenbing/,https://pan.baidu.com/s/1M_1LYRpS0y10-wPz1FKbRA,kjqq,
