,标题,作者,封面,内容简介,是否完结,最新章节,漫画页地址
88,死角,曹志豪 ,https://mhfm2tel.cdndm5.com/10/9303/9303_b.jpg,《海洋疯狂》是海洋漫画的新尝试，简而言之就是多作家的合...,连载中,第8回 ,https://www.dm5.com/manhua-sijiao/
89,了凡四训,林钜晴 ,https://mhfm7tel.cdndm5.com/36/35741/20170324090138_180x240.jpg,我命由我不由天！人定胜天！本書五百年来改变了世界各地无...,连载中,13,https://www.dm5.com/manhua-lefansixun/
90,乾坤奇侠,黄玉郎 ,https://mhfm6tel.cdndm5.com/22/21435/20160106215742_180x240_17.jpg,宇宙在无始之前由无动而动，巨大的爆炸令不动的无极变成了...,连载中,第1回 ,https://www.dm5.com/manhua-gankunjixia/
91,为了遇到你,魔法少年痞子杨 ,https://mhfm8tel.cdndm5.com/45/44666/20180820085009_180x240.jpg,准高考生叶山在对于学习产生了倦怠并且在高考的压力下，产...,连载中,第5回 ,https://www.dm5.com/manhua-weileyudaoni/
92,穿梭时空三千年,苏逸平 ,https://mhfm4tel.cdndm5.com/23/22848/20160513171003_180x240.jpg,苏逸平先生的《穿梭时空三千年》系列，其中包括穿梭时空三...,连载中,第20回 ,https://www.dm5.com/manhua-chuansuoshikongsanqiannian/
93,捌.拾.陆,戴庆贤 ,https://mhfm9tel.cdndm5.com/9/8191/8191_b.jpg,"捌.拾.陆漫画人类爱和平,但很矛盾,有人类的地方,就有斗争....",连载中,第1回 龙虎争斗,https://www.dm5.com/manhua-ba-she-lu/
94,葡星大爆炸,Q淘 ,https://mhfm3tel.cdndm5.com/34/33027/20161010114029_180x240.jpg,来自葡萄星球的高智商低情商外星人塔塔，绝佳弹性的外星萌...,连载中,第8回 便便王国历险记,https://www.dm5.com/manhua-puxingdabaozha/
95,玄蝉说,杨孝荣 ,https://mhfm2tel.cdndm5.com/22/21078/20151127200806_180x240.jpg,蝉从天降藏神机九窍吞珠显神灵魂由地洞出得生羽化飞升九重...,连载中,第5回 ,https://www.dm5.com/manhua-xuanchanshui/
96,极道甜心,陈汉玲 ,https://mhfm1tel.cdndm5.com/35/34997/20170206140359_180x240_25.jpg,天真无邪的天然少女?韩娜娜，某天走在路上突然被人袭击！见...,连载中,第1回 试看版,https://www.dm5.com/manhua-jidaotianxin/
97,蘑菇学园,狄芬妮琳 ,https://mhfm9tel.cdndm5.com/37/36071/20170418165020_180x240_19.jpg,欢迎观看蘑菇学园漫画：关于校园爱情：小琳平凡的生活将会...,连载中,序章 ,https://www.dm5.com/manhua-moguxueyuan/
98,花仙莫尼,酷动像 ,https://mhfm4tel.cdndm5.com/47/46721/20181210145608_180x240.jpg,这是一个花香四溢，即健康又美丽的故事，这也是关于那个温...,连载中,第9回 ,https://www.dm5.com/manhua-huaxianmoni/
